ProbeID,GeneSymbol,EntrezID,logFC,AveExpr,t,PValue,adjPVal,B,ProbeID1,logFC1,AveExpr1,t1,PValue1,adjPVal1
208454_s_at,CPQ,10404,0.491813408,4.500371182,3.948229514,0.000213983,0.298381351,0.326211737,208454_s_at,0.055103144,4.500371182,0.359953549,0.720205965,0.999925658
209167_at,GPM6B,2824,0.381286814,11.75011683,3.939427418,0.000220272,0.298381351,0.303352645,209167_at,0.187314587,11.75011683,1.600102867,0.115078608,0.999925658
214293_at,Sep-11,55752,-0.854106144,5.514412587,-3.939359534,0.000220321,0.298381351,0.303176451,214293_at,-0.138744975,5.514412587,-0.527133736,0.600136893,0.999925658
230100_x_at,PAK1,5058,-1.182903592,4.187763302,-3.929085876,0.000227888,0.299552349,0.276528546,230100_x_at,-0.145311095,4.187763302,-0.391838135,0.696632173,0.999925658
209110_s_at,RGL2,5863,0.451653856,4.171104129,3.916602257,0.00023742,0.301678498,0.244195968,209110_s_at,0.183895854,4.171104129,1.33491435,0.187187131,0.999925658
210292_s_at,PCDH11X /// PCDH11Y,27328 /// 83259,-0.627650511,3.739991862,-3.907992136,0.000244217,0.301678498,0.221926313,210292_s_at,-0.343274727,3.739991862,-1.848448438,0.069702658,0.999925658
242138_at,DLX1,1745,-0.603817943,2.825724407,-3.895224354,0.000254641,0.301678498,0.188949272,242138_at,-0.03471835,2.825724407,-0.183683377,0.854910678,0.999925658
229657_at,THRB,7068,-1.160917872,5.156746709,-3.873471353,0.000273394,0.301678498,0.132892987,229657_at,-0.160342625,5.156746709,-0.434789061,0.665349591,0.999925658
213375_s_at,N4BP2L1,90634,-0.64702289,5.46387976,-3.862237866,0.000283592,0.301678498,0.104008613,213375_s_at,-0.047935335,5.46387976,-0.233229824,0.816414588,0.999925658
241998_at,C2orf80,389073,-1.154135563,4.648224765,-3.844419106,0.00030052,0.301678498,0.05828147,241998_at,-0.070253727,4.648224765,-0.190186499,0.849835548,0.999925658
232401_at,KCNS2,3788,-0.266417256,2.199245158,-3.83201965,0.000312868,0.301678498,0.026526983,232401_at,-0.09381416,2.199245158,-1.127264511,0.264331731,0.999925658
204850_s_at,DCX,1641,-0.390080137,3.386406504,-3.829779952,0.00031515,0.301678498,0.020796971,204850_s_at,-0.055196249,3.386406504,-0.455978352,0.650129999,0.999925658
47550_at,LZTS1,11178,-0.539397784,3.70324474,-3.828831338,0.000316121,0.301678498,0.018370582,47550_at,-0.102526047,3.70324474,-0.590460129,0.557205211,0.999925658
200915_x_at,KTN1,3895,0.559442809,8.520790291,3.819495913,0.000325834,0.301678498,-0.005490867,200915_x_at,0.313856496,8.520790291,1.77580173,0.081078619,0.999925658
214176_s_at,---,---,0.366644483,3.463156187,3.801781881,0.000345057,0.301678498,-0.050683167,214176_s_at,0.212184471,3.463156187,1.809479663,0.075625591,0.999925658
205294_at,BAIAP2,10458,-0.816588181,4.345163027,-3.799673712,0.000347415,0.301678498,-0.056054114,205294_at,-0.093167221,4.345163027,-0.352171441,0.726002397,0.999925658
218922_s_at,CERS4,79603,0.264438971,3.230343507,3.799254736,0.000347886,0.301678498,-0.057121342,218922_s_at,0.146380745,3.230343507,1.815023988,0.074757995,0.999925658
243040_at,---,---,0.180263359,2.285706831,3.797564946,0.00034979,0.301678498,-0.061424992,243040_at,0.010992772,2.285706831,0.18758216,0.851867257,0.999925658
244130_at,HTR2A,3356,-1.02028935,3.723668896,-3.79605894,0.000351496,0.301678498,-0.065259707,244130_at,-0.527178661,3.723668896,-1.6355231,0.1074246,0.999925658
211653_x_at,AKR1C2,1646,0.476420833,3.606041829,3.788228184,0.000360494,0.301678498,-0.085185905,211653_x_at,0.218039073,3.606041829,1.483162302,0.143514096,0.999925658
230053_at,---,---,0.267749222,2.905813471,3.775150665,0.000376016,0.301678498,-0.118413829,230053_at,0.063532175,2.905813471,0.736958195,0.464156356,0.999925658
