"Study","parent","DataType","Contrast","name","LogFC","size","PValue","AdjPValue"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","CCKBR","-0.350161984713198","1.27703790163027","0.00634078962548162","0.0528399135456802"
"MSBB","Frontal Pole","Microarray","AD-NCI","CCKBR","-0.315004456250001","0.899466893617865","0.025209434406433","0.126047172032165"
"MSBB","Superior Temporal Gyrus","Microarray","AD-NCI","CCKBR","0.108827186057693","0.942816643105948","0.0319404763100772","0.114073129678847"
"MSBB","Putamen","Microarray","AD-NCI","CCKBR","0.133239265972223","0.941605209907313","0.0371581098198284","0.114391772672834"
"MSBB","Frontal Pole","RNA-Seq","AD-NCI","CCKBR","-0.207155997863371","0.941605209907313","0.0411810381622204","0.114391772672834"
"MSBB","Inferior Temporal Gyrus","Microarray","AD-NCI","CCKBR","-0.348778758787879","0.808066453876788","0.068452012756158","0.155572756263995"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","DRD5","-0.684600355374841","3.48428567499481","6.55759091906613e-06","0.000327879545953306"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","DRD5","-0.527023651297376","2.74101045320809","7.26188785969725e-05","0.00181547196492431"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","DRD5","-0.453434664770303","2.19521463360759","0.000255179250622993","0.00637948126557483"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","DRD5","-0.389507628218157","0.734872235990862","0.0156377768571665","0.184131361325121"
"MSBB","Frontal Pole","RNA-Seq","AD-NCI","DRD5","-0.262553827519084","0.734872235990862","0.0204963524172791","0.184131361325121"
"MSBB","Superior Parietal Lobule","Microarray","AD-NCI","DRD5","0.161866972527472","0.734872235990862","0.044191526718029","0.184131361325121"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","GRIN2A","-0.786615636737296","5.91242453938206","2.44683935049939e-08","1.2234196752497e-06"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","GRIN2A","-0.589411243280673","3.89684287773644","5.07244227711618e-06","0.000126811056927905"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","GRIN2A","-0.54311272107071","3.71953630971502","1.01733132735725e-05","0.000190749623879484"
"MSBB","Putamen","Microarray","AD-NCI","GRIN2A","-1.72129879375","3.71953630971502","2.72870070811323e-05","0.000190749623879484"
"MSBB","Frontal Pole","Microarray","AD-NCI","GRIN2A","-1.29595618125","2.7304043886878","0.000186035408101355","0.00186035408101355"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","GRIN2A","-0.482639991069741","2.70826000965169","0.000234920673031253","0.00195767227526044"
"MSBB","Parahippocampal Gyrus","Microarray","AD-NCI","GRIN2A","-1.48301123333333","2.01445647819578","0.00270832982995119","0.00967260653553997"
"MSBB","Mid Temp Gyrus","Microarray","AD-NCI","GRIN2A","-1.1308002375","1.87454515459514","0.00427174012087423","0.013349187877732"
"MSBB","Superior Temporal Gyrus","Microarray","AD-NCI","GRIN2A","-1.11433344471154","1.80743190249166","0.00560880831931688","0.0155800231092136"
"MSBB","Caudate Nucleus","Microarray","AD-NCI","GRIN2A","-0.79509111153846","1.4619794363312","0.0138064032855926","0.0345160082139815"
"MSBB","Frontal Pole","RNA-Seq","AD-NCI","GRIN2A","-0.211158037089131","1.4135454046768","0.0169788109144093","0.0385882066236575"
"MSBB","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","GRIN2A","-0.643086319444445","1.30650558905144","0.0188694196546229","0.0493735564194222"
"MSBB","Inferior Frontal Gyrus","Microarray","AD-NCI","GRIN2A","-1.09956608321678","1.32254612681137","0.0231052990468633","0.0475832249729431"
"MSBB","Temporal Pole","Microarray","AD-NCI","GRIN2A","-0.764070841208792","1.32254612681137","0.0247432769859304","0.0475832249729431"
"ROSMAP","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","GRIN2A","0.0149989421416743","1.30650558905144","0.030052159869873","0.0493735564194222"
"MSBB","Prefrontal Cortex","Microarray","AD-NCI","GRIN2A","-0.912848501298703","1.30650558905144","0.0315990761084302","0.0493735564194222"
