"Study","parent","DataType","Contrast","name","LogFC","size","PValue","AdjPValue"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","TAC3","-0.728509649338781","4.58033971998449","1.42636123354662e-06","2.62821131089833e-05"
"ROSMAP","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","TAC3","-0.147842989910628","1.76072639525775","0.00231319551372947","0.017348966352971"
"MSBB","Inferior Temporal Gyrus","Microarray","AD-NCI","TAC3","-0.30759059090909","1.76072639525775","0.00294484735190867","0.017348966352971"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","TAC3","-0.367868732979674","1.12799281229205","0.00893693159462883","0.0744744299552402"
"MSBB","Parahippocampal Gyrus","Microarray","AD-NCI","TAC3","-0.160470658974357","0.744477955216619","0.0504289674732719","0.180103455261685"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","TACR2","-0.481508439137049","7.73545548029355","2.45178992626681e-10","1.83884244470011e-08"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","TACR2","-0.341413380594895","1.98735583636625","0.000411816890410167","0.0102954222602542"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","TACR2","-0.262228914466492","0.766683429365274","0.0190058765231412","0.171126225237395"
"MSBB","Superior Temporal Gyrus","Microarray","AD-NCI","TACR2","0.184376476442307","0.766683429365274","0.0197340470479566","0.171126225237395"
"MSBB","Nucleus Accumbens","Microarray","AD-NCI","TACR2","-0.163955321666667","0.766683429365274","0.0284475908337726","0.171126225237395"
"MSBB","Putamen","Microarray","AD-NCI","TACR2","0.125833821527778","0.766683429365274","0.0410702940569748","0.171126225237395"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","ADORA2A","0.432302289880131","7.08649706188176","6.82844305592163e-09","8.19413166710596e-08"
"ROSMAP","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","ADORA2A","0.14807732236389","4.14364274434223","2.39461666691977e-05","7.18385000075931e-05"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","ADORA2A","0.723864737829106","3.40379695090034","0.000197320884452788","0.000394641768905576"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","ADORA2A","0.619447394889943","3.01144951609389","0.000649320665132287","0.000973980997698431"
"MSBB","Frontal Pole","RNA-Seq","AD-NCI","ADORA2A","0.476470527603148","2.32649804773161","0.00392934992456296","0.00471521990947555"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","ADORA2A","0.352961049205679","1.29520892344389","0.0506746871947973","0.0506746871947973"
