"x"
"DOCK4"
"GABRB3"
"ATP6V1A"
"TGFB2"
"ATP1B1"
"ATP2A2"
"DZANK1"
"CADM2"
"OPCML"
"RNF19A"
"WASL"
"GPR158"
"LPIN2"
"HSPA4L"
"MAP1B"
"UNC5C"
"OGT"
"PLCB1"
"ATP2B1"
"USP25"
"SGK1"
"LRRN3"
"CACNA2D3"
"NR3C2"
"NAV3"
"CYFIP2"
"PFN2"
"CHN1"
"SASH1"
"GPR22"
"ZEB2"
"SCAMP1"
"PRKCG"
"KCTD6"
"UBE2E1"
"RBFOX1"
"ADAM9"
"FBXO11"
"TMEM9B"
"NDUFS2"
"KCNA2"
"SLITRK5"
"PCDH8"
"NFIB"
"RCAN1"
"ATRNL1"
"FAM19A1"
"GRIA3"
"DDX17"
"RHOB"
"NCDN"
"LRRTM1"
"PAK3"
"DOCK9"
"CHL1"
"ZFAND3"
"PKP4"
"SPAG9"
"AMPH"
"YME1L1"
"CDK17"
"UBE2B"
"GSN"
"CRK"
"PYGB"
"NEDD4"
"GNAQ"
"BMPR2"
"POGZ"
"CHM"
"DYNLL1"
"E2F3"
"UBR3"
"MBNL2"
"GDAP1"
"CLCN3"
"TNPO1"
"KLHL9"
"ELMOD1"
"CPEB4"
"SGIP1"
"TRIT1"
"CCNT2"
"KCNA1"
"FLRT3"
"DCLK1"
"NDUFS4"
"SPTBN1"
"MIB1"
"SORT1"
"HECTD2"
"USP32"
"DLG2"
"ERRFI1"
"PPP4R2"
"PDE4B"
"LRP6"
"TRPS1"
"HSD11B1"
"HNRNPH2"
"CACNA1C"
"BBS4"
"PCMTD1"
"FAM76B"
"KIF21A"
"RHOA"
"PTPRA"
"GPR135"
"PGS1"
"FSTL1"
"ATP2C1"
"RALYL"
"CELF4"
"DOCK3"
"ASPH"
"KIAA1468"
"EXTL2"
"KCNMA1"
"CADM1"
"GCNT2"
"YPEL5"
"WDR44"
"EIF4H"
"CPE"
"NECAP1"
"DNAJA1"
"PDGFRA"
"COPS3"
"TAB2"
"PPM1K"
"HNRNPD"
"RNF128"
"TNFRSF19"
"CAMKV"
"PPP2R5E"
"CREBZF"
"DAAM1"
"NR3C1"
"EHBP1"
"AFF3"
"CTTNBP2NL"
"RASGEF1A"
"SLC9A7"
"FBXW7"
"SLITRK1"
"ZNF445"
"CYR61"
"ARID4A"
"RAB30"
"SMPDL3A"
"BTBD10"
"NDUFB9"
"RAP2C"
"TPI1"
"ATP6V1G1"
"RBM39"
"SFPQ"
"SCN2B"
"GAS7"
"FASTKD2"
"PPP2CA"
"FGF14"
"NR4A2"
"SREK1"
