Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Limbic system,,5,,
,WB,,,Frontal lobe,,5,,
,WB,,,Temporal lobe,,5,,
,WB,,,Cingulum,,5,,
,WB,,,Striatum,,5,,
,WB,,,Occipital lobe,,5,,
,WB,,,Parietal lobe,,5,,
,Limbic system,,,Parahippocampal Gyrus,,5,,
,Frontal lobe,,,Frontal Pole,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,Frontal lobe,,,Dorsolateral Prefrontal Cortex,,5,,
,Temporal lobe,,,Middle Temporal Gyrus,,5,,
,Temporal lobe,,,Inferior Temporal Gyrus,,5,,
,Cingulum,,,Posterior Cingulate Cortex,,5,,
,Frontal lobe,,,Prefrontal Cortex,,5,,
,Striatum,,,Putamen,,5,,
,Temporal lobe,,,Superior Temporal Gyrus,,5,,
,Occipital lobe,,,Occipital Visual Cortex,,5,,
,Temporal lobe,,,Temporal Pole,,5,,
,Striatum,,,Caudate Nucleus,,5,,
,Limbic system,,,Nucleus Accumbens,,5,,
,Limbic system,,,Hippocampus,,5,,
,Cingulum,,,Anterior Cingulate,,5,,
,Parietal lobe,,,Superior Parietal Lobule,,5,,
,Frontal lobe,,,Precentral Gyrus,,5,,
MSBB,Prefrontal Cortex,Microarray,B3-B1,MET,-0.333081018,0.998942491,0.100243797,0.222763994
MSBB,Occipital Visual Cortex,Microarray,B3-B1,MET,-0.471733022,0.941024134,0.114544929,0.229089857
MSBB,Precentral Gyrus,Microarray,B3-B1,MET,0.089729127,0.940934268,0.114568633,0.208306606
MSBB,Caudate Nucleus,Microarray,B3-B1,MET,0.09366159,0.856391522,0.139190142,0.21413868
MSBB,Parahippocampal Gyrus,Microarray,B3-B1,MET,-0.339378162,0.842637529,0.143668802,0.205241146
MSBB,Hippocampus,Microarray,B3-B1,PLAU,0.135928464,2.462859816,0.003444611,0.06889222
MSBB,Superior Temporal Gyrus,Microarray,B3-B1,PLAU,0.171816703,2.300657008,0.005004296,0.05004296
MSBB,Frontal Pole,Microarray,B3-B1,PLAU,0.128006114,2.196921313,0.006354461,0.04236307
MSBB,Precentral Gyrus,Microarray,B3-B1,PLAU,0.08699275,1.293941359,0.050822806,0.254114031
MSBB,Posterior Cingulate Cortex,Microarray,B3-B1,PLAU,0.088014581,1.208031338,0.061939638,0.247758552
MSBB,Parahippocampal Gyrus,Microarray,B3-B1,PLAU,0.084975145,1.113756865,0.076956115,0.256520383
MSBB,Temporal Pole,Microarray,B3-B1,PLAU,0.078925629,1.112422672,0.077192895,0.220551128
MSBB,Caudate Nucleus,Microarray,B3-B1,PLAU,0.106732041,1.110878637,0.077467825,0.193669562
MSBB,Precentral Gyrus,Microarray,B3-B1,VEGFA,-1.506681963,2.649338007,0.002242136,0.044842724
MSBB,Inferior Temporal Gyrus,Microarray,B3-B1,VEGFA,0.218926738,1.585717086,0.025958698,0.259586985
MSBB,Posterior Cingulate Cortex,Microarray,B3-B1,VEGFA,-0.858462129,1.550594215,0.028145294,0.187635291
MSBB,Amygdala,Microarray,B3-B1,VEGFA,-0.559855572,1.471191997,0.033791541,0.168957707
MSBB,Inferior Frontal Gyrus,Microarray,B3-B1,VEGFA,0.228687761,1.28904112,0.051399498,0.205597993
MSBB,Frontal Pole,Microarray,B3-B1,VEGFA,0.200185169,1.219676281,0.06030089,0.201002965
